Name,Price,buy link,Benifits
LeadsPitch Basic Membership,$19.99,https://whop.com/leadspitch-memebership/starter-membership-3/,"40% off on industries including Events and leasure, Education and Traning, Construction on their one time data sets as well as monthly"
LeadsPitch Pro Membership,$29.99,https://whop.com/leadspitch-memebership/leadspitch-growth-membership/,"40% off on industries including all industries from basic membership along with Agencies and busniess, Automotive, logistics, hotels and hospitality, homeservices and legal priority support and more"
LeadsPitch Max Membership,$49.99,https://whop.com/leadspitch-memebership/membership-max/,"40% off on all industries as well as bundles, prority access to future industries new products with bonus leads and records and priority support and more"
